Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceZ,Lap,LeanAngle,GyroX,GyroY,GyroZ
1,2024-10-21T16:23:47.920,-27.4569839,153.1985259,3.4,0.96,0,0.252,0,1.7,-3.46,-2.37,2.79
2,2024-10-21T16:23:47.960,-27.456984,153.1985259,3.3,1.22,-0.028,0.5,0,3.1,-4.5,-3.26,6.57
3,2024-10-21T16:23:48.040,-27.4569847,153.1985254,3.3,2.58,-0.054,0.731,0,4.3,-5.21,-4.61,10.32
4,2024-10-21T16:23:48.080,-27.4569854,153.198525,3.3,2.94,-0.082,0.927,0,4.8,-5.86,-6.25,13.48
5,2024-10-21T16:23:48.120,-27.4569858,153.1985247,3.3,1.83,-0.107,1.086,0,5.8,-6.53,-8.23,15.57
6,2024-10-21T16:23:48.200,-27.4569861,153.1985243,3.3,1.66,-0.103,1.042,0,6,-6.04,-10.19,15.42
7,2024-10-21T16:23:48.280,-27.4569861,153.1985236,3.3,2.07,-0.106,0.994,0,5.4,-5.62,-11.56,14.39
8,2024-10-21T16:23:48.320,-27.4569859,153.1985234,3.3,2.16,-0.111,0.944,0,4.1,-5.79,-12.47,13.07
9,2024-10-21T16:23:48.360,-27.4569858,153.198523,3.3,2.31,-0.113,0.907,0,2.6,-6.31,-12.99,11.69
10,2024-10-21T16:23:48.400,-27.4569858,153.1985226,3.3,2.34,-0.114,0.882,0,1.8,-7.01,-13.09,10.48
11,2024-10-21T16:23:48.440,-27.4569858,153.1985223,3.3,2.1,-0.118,0.864,0,1.9,-7.82,-12.9,9.34
12,2024-10-21T16:23:48.480,-27.4569858,153.1985221,3.3,1.85,-0.125,0.855,0,2,-8.34,-12.63,8.22
13,2024-10-21T16:23:48.520,-27.4569856,153.198522,3.3,1.61,-0.133,0.85,0,2.6,-8.32,-12.26,7.28
14,2024-10-21T16:23:48.560,-27.4569853,153.1985219,3.3,1.6,-0.14,0.845,0,3.1,-7.65,-11.74,6.46
15,2024-10-21T16:23:48.600,-27.4569852,153.1985219,3.3,1.44,-0.146,0.843,0,2.9,-6.57,-11.02,5.55
16,2024-10-21T16:23:48.640,-27.4569851,153.1985216,3.3,1.43,-0.151,0.843,0,3.4,-5.43,-10.16,4.7
17,2024-10-21T16:23:48.680,-27.456985,153.1985216,3.3,1.42,-0.164,0.837,0,4,-4.41,-8.99,4.48
18,2024-10-21T16:23:48.760,-27.456985,153.1985215,3.3,1.01,-0.173,0.837,0,4.9,-2.93,-7.25,5.98
19,2024-10-21T16:23:48.800,-27.4569852,153.1985214,3.2,1.07,-0.174,0.847,0,6.2,-1.28,-5.34,8.49
20,2024-10-21T16:23:48.840,-27.4569854,153.1985212,3.2,1.36,-0.16,0.863,0,8.7,0.73,-3.37,11.81
21,2024-10-21T16:23:48.880,-27.4569855,153.198521,3.3,1.69,-0.134,0.891,0,10.7,2.94,-1.51,15.2
22,2024-10-21T16:23:48.920,-27.4569855,153.1985209,3.3,1.69,-0.102,0.917,0,11.8,4.92,-0.01,17.89
23,2024-10-21T16:23:48.960,-27.4569853,153.1985207,3.3,1.81,-0.071,0.945,0,12.5,6.29,1.03,18.82
24,2024-10-21T16:23:49.040,-27.4569849,153.1985206,3.3,2.5,-0.053,0.954,0,12.3,7.23,1.96,17.83
25,2024-10-21T16:23:49.080,-27.4569846,153.1985206,3.3,2.75,-0.05,0.953,0,11.6,7.7,2.81,15.37
26,2024-10-21T16:23:49.120,-27.4569843,153.1985207,3.3,2.98,-0.053,0.945,0,9.7,7.79,3.71,11.76
27,2024-10-21T16:23:49.160,-27.456984,153.1985207,3.3,3.26,-0.056,0.944,0,8.3,7.61,4.77,6.99
28,2024-10-21T16:23:49.200,-27.4569837,153.1985207,3.3,3.8,-0.065,0.946,0,7.5,6.92,5.86,1.55
29,2024-10-21T16:23:49.280,-27.4569831,153.1985207,3.4,3.48,-0.096,0.954,0,6.4,5.49,6.98,-3.45
30,2024-10-21T16:23:49.360,-27.4569826,153.1985209,3.3,2.88,-0.13,0.981,0,5.7,3.66,7.94,-7.52
31,2024-10-21T16:23:49.400,-27.4569825,153.1985211,3.3,2.74,-0.16,1.022,0,4.7,1.66,8.54,-10.36
32,2024-10-21T16:23:49.440,-27.4569822,153.1985212,3.3,2.82,-0.186,1.065,0,2.9,-0.25,8.73,-11.64
33,2024-10-21T16:23:49.480,-27.4569819,153.1985212,3.3,2.88,-0.202,1.11,0,1.8,-1.83,8.52,-11.34
34,2024-10-21T16:23:49.520,-27.4569816,153.1985214,3.3,2.88,-0.193,1.149,0,1.8,-2.98,7.88,-9.83
35,2024-10-21T16:23:49.560,-27.4569814,153.1985215,3.2,2.45,-0.16,1.185,0,1.6,-3.79,6.75,-7.54
36,2024-10-21T16:23:49.640,-27.4569811,153.1985214,3.2,1.57,-0.113,1.211,0,0.8,-4.51,5.04,-5.31
37,2024-10-21T16:23:49.680,-27.456981,153.1985212,3.2,1.61,-0.066,1.23,0,1.3,-5.27,2.99,-3.43
38,2024-10-21T16:23:49.720,-27.4569808,153.1985212,3.2,2.02,-0.028,1.234,0,2.3,-6.2,0.64,-1.91
39,2024-10-21T16:23:49.760,-27.4569807,153.1985212,3.2,1.77,-0.02,1.222,0,2.7,-7.47,-2.47,-0.23
40,2024-10-21T16:23:49.840,-27.4569804,153.1985212,3.2,1.42,-0.041,1.19,0,3.1,-8.66,-5.61,1.45
41,2024-10-21T16:23:49.880,-27.4569801,153.198521,3.2,1.52,-0.088,1.142,0,3.2,-9.47,-8.48,3.78
42,2024-10-21T16:23:49.960,-27.4569801,153.1985207,3.2,1.31,-0.133,1.079,0,3.5,-9.88,-11.05,7.21
43,2024-10-21T16:23:50.040,-27.4569802,153.1985207,3.2,1.39,-0.157,1.027,0,4.9,-9.8,-12.98,10.89
44,2024-10-21T16:23:50.080,-27.4569801,153.1985207,3.3,0.81,-0.155,0.99,0,6,-9.2,-13.93,14.16
45,2024-10-21T16:23:50.120,-27.4569798,153.1985209,3.3,0.26,-0.132,0.965,0,6.3,-8.11,-14.25,17.53
46,2024-10-21T16:23:50.160,-27.4569794,153.198521,3.3,0.73,-0.108,0.935,0,5.6,-6.87,-14.06,20.98
47,2024-10-21T16:23:50.200,-27.4569791,153.198521,3.3,1.08,-0.099,0.902,0,2,-6.21,-13.6,24.58
48,2024-10-21T16:23:50.240,-27.4569792,153.1985211,3.3,0.04,-0.135,0.884,0,-1,-6.32,-12.91,29.61
49,2024-10-21T16:23:50.320,-27.4569797,153.1985215,3.3,2.89,-0.183,0.875,0,-2.6,-7.86,-12.48,34.67
50,2024-10-21T16:23:50.360,-27.45698,153.198522,3.3,4.09,-0.226,0.881,0,-7,-9.51,-12.3,38.13
51,2024-10-21T16:23:50.400,-27.4569802,153.1985225,3.3,3.84,-0.268,0.873,0,-11,-10.66,-12.1,39.55
52,2024-10-21T16:23:50.440,-27.45698,153.198523,3.3,2.51,-0.292,0.88,0,-12.9,-9.68,-11.48,39.24
53,2024-10-21T16:23:50.480,-27.4569799,153.1985234,3.3,2.26,-0.288,0.87,0,-14.5,-6.85,-10.55,37.11
54,2024-10-21T16:23:50.520,-27.4569797,153.1985239,3.3,2.65,-0.276,0.86,0,-14.7,-2.03,-9.01,34.45
55,2024-10-21T16:23:50.560,-27.4569796,153.1985244,3.3,2.97,-0.229,0.843,0,-14,2.45,-7.2,31.76
56,2024-10-21T16:23:50.600,-27.4569794,153.1985249,3.3,3.02,-0.147,0.853,0,-13.7,6.12,-5.42,28.61
57,2024-10-21T16:23:50.640,-27.4569792,153.1985254,3.3,3.02,-0.038,0.849,0,-13.7,8.06,-3.7,23.84
58,2024-10-21T16:23:50.720,-27.4569784,153.1985256,3.3,3.88,0.092,0.856,0,-13.5,8.8,-1.94,16.24
59,2024-10-21T16:23:50.760,-27.4569776,153.1985257,3.3,4.39,0.196,0.861,0,-11.6,9.03,-0.42,7.53
60,2024-10-21T16:23:50.800,-27.4569769,153.1985257,3.3,5.42,0.245,0.86,0,-8.3,9,0.92,-1.69
61,2024-10-21T16:23:50.840,-27.4569761,153.1985257,3.2,6.16,0.246,0.857,0,-5.5,8.67,2.1,-10.31
62,2024-10-21T16:23:50.880,-27.4569752,153.1985256,3.2,6.72,0.197,0.858,0,-3,7.32,3.04,-17.49
63,2024-10-21T16:23:50.960,-27.4569737,153.1985257,3.2,7.27,0.111,0.879,0,-0.9,4.24,3.89,-21.88
64,2024-10-21T16:23:51.040,-27.4569722,153.1985254,3.2,7.04,0.023,0.916,0,0.5,0.37,4.74,-23.94
65,2024-10-21T16:23:51.080,-27.4569716,153.1985254,3.1,6.12,-0.051,0.969,0,1.9,-3.5,5.57,-23.67
66,2024-10-21T16:23:51.120,-27.4569711,153.1985254,3.2,5.53,-0.106,1.029,0,3.4,-7.37,6.25,-21.83
67,2024-10-21T16:23:51.160,-27.4569706,153.1985256,3.1,5.14,-0.143,1.091,0,4,-10.8,6.61,-18.73
68,2024-10-21T16:23:51.200,-27.45697,153.1985258,3.1,5.04,-0.163,1.131,0,4.1,-13.73,6.43,-14.75
69,2024-10-21T16:23:51.240,-27.4569697,153.1985258,3.1,4.28,-0.172,1.155,0,3.6,-16.65,5.86,-10.71
70,2024-10-21T16:23:51.280,-27.4569693,153.1985259,3.1,3.69,-0.184,1.159,0,3.5,-19.47,5.03,-6.72
71,2024-10-21T16:23:51.320,-27.4569691,153.1985261,3.1,3.24,-0.195,1.152,0,3.5,-21.87,4.11,-2.53
72,2024-10-21T16:23:51.360,-27.4569687,153.1985263,3.1,3.46,-0.202,1.137,0,3.3,-23.34,3.11,2.44
73,2024-10-21T16:23:51.440,-27.4569682,153.1985268,3.1,2.91,-0.2,1.118,0,2.5,-23.57,2.15,7.57
74,2024-10-21T16:23:51.480,-27.4569681,153.1985273,3,2.78,-0.192,1.092,0,1.3,-22.99,1.27,12.33
75,2024-10-21T16:23:51.520,-27.4569679,153.1985277,3,2.76,-0.173,1.07,0,-0.9,-21.79,0.49,16.5
